Time,HeartRate,WL
00:00:00,112,25
00:00:01,111,50
00:00:01,111,50
00:00:01,110,50
00:00:01,110,50
00:00:03,109,50
00:00:04,108,50
00:00:04,108,50
00:00:04,107,50
00:00:04,107,50
00:00:07,106,50
00:00:07,107,50
00:00:08,107,50
00:00:08,107,50
00:00:10,107,50
00:00:10,107,50
00:00:11,108,50
00:00:11,108,50
00:00:13,108,50
00:00:13,109,50
00:00:15,109,50
00:00:16,109,50
00:00:16,110,50
00:00:18,110,50
00:00:19,110,50
00:00:19,110,50
00:00:20,110,50
00:00:22,110,50
00:00:22,110,50
00:00:23,110,50
00:00:25,109,50
00:00:25,109,50
00:00:26,109,50
00:00:28,108,50
00:00:28,108,50
00:00:30,109,50
00:00:31,109,50
00:00:31,109,50
00:00:33,109,50
00:00:33,109,50
00:00:34,109,50
00:00:34,108,50
00:00:37,106,50
00:00:37,106,50
00:00:39,106,50
00:00:40,107,50
00:00:40,108,50
00:00:41,108,50
00:00:43,108,50
00:00:43,108,50
00:00:45,107,50
00:00:46,106,50
00:00:46,106,50
00:00:48,106,50
00:00:49,105,50
00:00:49,105,50
00:00:51,105,50
00:00:52,105,50
00:00:52,105,50
00:00:53,105,50
00:00:55,105,50
00:00:56,105,50
00:00:56,105,50
00:00:58,105,50
00:00:59,105,50
00:01:00,105,50
00:01:01,105,50
00:01:02,104,50
00:01:03,104,50
00:01:04,104,50
00:01:05,104,50
00:01:05,103,50
00:01:07,103,50
00:01:08,103,50
00:01:08,103,50
00:01:10,103,50
00:01:11,103,50
00:01:11,103,50
00:01:13,103,50
00:01:14,104,50
00:01:15,104,50
00:01:16,104,50
00:01:17,104,50
00:01:18,104,50
00:01:19,104,50
00:01:19,104,50
00:01:20,104,50
00:01:22,104,50
00:01:22,103,50
00:01:23,103,50
00:01:25,102,50
00:01:25,102,50
00:01:28,102,50
00:01:28,102,50
00:01:28,103,50
00:01:30,103,50
00:01:30,103,50
00:01:31,104,50
00:01:31,105,50
00:01:34,106,50
00:01:34,106,50
00:01:36,105,50
00:01:36,105,50
00:01:37,105,50
00:01:38,104,50
00:01:40,104,50
00:01:40,104,50
00:01:41,104,50
00:01:43,105,50
00:01:43,105,50
00:01:45,106,50
00:01:46,106,50
00:01:46,106,50
00:01:48,106,50
00:01:49,106,50
00:01:50,106,50
00:01:50,105,50
00:01:52,105,50
00:01:53,106,50
00:01:53,106,50
00:01:53,106,50
00:01:53,106,50
00:01:55,106,50
00:01:56,105,50
00:01:56,104,50
00:01:58,103,50
00:01:59,103,50
00:02:00,103,50
00:02:01,103,50
00:02:02,104,50
00:02:03,105,50
00:02:04,105,50
00:02:05,104,50
00:02:05,104,50
00:02:07,104,50
00:02:07,104,50
00:02:08,105,50
00:02:10,104,50
00:02:10,104,50
00:02:11,104,50
00:02:13,104,50
00:02:13,105,50
00:02:15,105,50
00:02:16,106,50
00:02:16,106,50
00:02:18,106,50
00:02:18,106,50
00:02:19,106,50
00:02:19,106,50
00:02:22,105,50
00:02:23,105,50
00:02:24,105,50
00:02:25,105,50
00:02:26,105,50
00:02:27,104,50
00:02:28,104,50
00:02:30,102,50
00:02:31,102,50
00:02:31,102,50
00:02:33,102,50
00:02:34,102,50
00:02:34,102,50
00:02:36,102,50
00:02:37,102,50
00:02:37,102,50
00:02:38,101,50
00:02:38,101,50
00:02:40,101,50
00:02:40,101,50
00:02:41,101,50
00:02:41,100,50
00:02:43,100,50
00:02:44,100,50
00:02:45,101,50
00:02:46,102,50
00:02:47,103,50
00:02:48,103,50
00:02:49,103,50
00:02:50,103,50
00:02:50,102,50
00:02:52,102,50
00:02:53,102,50
00:02:53,102,50
00:02:55,102,50
00:02:55,102,50
00:02:56,102,50
00:02:58,102,50
00:02:58,103,50
00:03:00,103,50
00:03:01,103,50
00:03:01,103,50
00:03:03,102,50
00:03:04,102,50
00:03:04,102,50
00:03:05,102,50
00:03:07,102,50
00:03:07,102,50
00:03:08,102,50
00:03:10,101,50
00:03:11,101,50
00:03:12,101,50
00:03:13,102,50
00:03:14,102,50
00:03:15,103,50
00:03:16,103,50
00:03:17,104,50
00:03:18,105,50
00:03:19,105,50
00:03:20,106,50
00:03:21,106,50
00:03:22,106,50
00:03:23,105,50
00:03:24,104,50
00:03:25,104,50
00:03:26,103,50
00:03:26,103,50
00:03:28,103,50
00:03:30,104,50
00:03:30,104,50
00:03:31,105,50
00:03:33,107,50
00:03:33,107,50
00:03:34,107,50
00:03:37,105,50
00:03:38,104,50
00:03:38,104,50
00:03:40,104,50
00:03:40,104,50
00:03:41,104,50
00:03:41,104,50
00:03:43,104,50
00:03:43,104,50
00:03:43,104,50
00:03:43,104,50
00:03:45,104,50
00:03:46,104,50
00:03:46,104,50
00:03:48,103,50
00:03:49,102,50
00:03:49,102,50
00:03:49,102,50
00:03:49,102,50
00:03:52,102,50
00:03:52,102,50
00:03:52,102,50
00:03:52,102,50
00:03:53,102,50
00:03:55,102,50
00:03:55,102,50
00:03:55,102,50
00:03:55,102,50
00:03:56,101,50
00:03:58,101,50
00:03:58,101,50
00:04:00,101,50
00:04:01,102,50
00:04:02,100,60
00:04:03,100,60
00:04:04,100,60
00:04:05,98,60
00:04:06,97,60
00:04:07,97,60
00:04:08,98,60
00:04:08,98,60
00:04:10,98,60
00:04:11,99,60
00:04:11,99,60
00:04:13,99,60
00:04:14,99,60
00:04:15,99,60
00:04:16,99,60
00:04:17,100,60
00:04:18,100,60
00:04:19,100,60
00:04:20,100,60
00:04:20,101,60
00:04:22,101,60
00:04:23,101,60
00:04:23,101,60
00:04:25,101,60
00:04:26,101,60
00:04:26,99,60
00:04:28,99,60
00:04:29,99,60
00:04:30,99,60
00:04:31,99,60
00:04:32,99,60
00:04:33,100,60
00:04:34,100,60
00:04:35,101,60
00:04:35,102,60
00:04:37,102,60
00:04:37,103,60
00:04:38,103,60
00:04:40,103,60
00:04:40,103,60
00:04:41,102,60
00:04:43,101,60
00:04:43,101,60
00:04:45,100,60
00:04:45,100,60
00:04:46,100,60
00:04:46,100,60
00:04:48,100,60
00:04:49,101,60
00:04:49,101,60
00:04:51,102,60
00:04:52,102,60
00:04:52,102,60
00:04:53,102,60
00:04:55,103,60
00:04:55,103,60
00:04:56,103,60
00:04:58,103,60
00:04:58,103,60
00:05:00,103,60
00:05:01,103,60
00:05:02,103,60
00:05:03,103,60
00:05:04,103,60
00:05:05,103,60
00:05:06,103,60
00:05:07,103,60
00:05:08,103,60
00:05:08,103,60
00:05:08,103,60
00:05:08,103,60
00:05:10,104,60
00:05:11,104,60
00:05:11,104,60
00:05:11,104,60
00:05:11,104,60
00:05:13,104,60
00:05:14,104,60
00:05:15,103,60
00:05:16,102,60
00:05:17,101,60
00:05:18,100,60
00:05:19,100,60
00:05:20,100,60
00:05:20,100,60
00:05:22,100,60
00:05:23,101,60
00:05:23,102,60
00:05:25,102,60
00:05:25,102,60
00:05:26,101,60
00:05:28,101,60
00:05:28,101,60
00:05:30,101,60
00:05:30,101,60
00:05:31,101,60
00:05:31,102,60
00:05:33,103,60
00:05:33,103,60
00:05:34,103,60
00:05:34,103,60
00:05:37,103,60
00:05:37,103,60
00:05:40,104,60
00:05:40,104,60
00:05:41,104,60
00:05:43,103,60
00:05:43,103,60
00:05:43,103,60
00:05:43,103,60
00:05:45,103,60
00:05:46,103,60
00:05:46,103,60
00:05:48,103,60
00:05:49,104,60
00:05:50,104,60
00:05:51,104,60
00:05:52,104,60
00:05:53,104,60
00:05:53,104,60
00:05:55,102,60
00:05:56,102,60
00:05:56,102,60
00:05:58,102,60
00:05:59,102,60
00:06:00,102,60
00:06:01,103,60
00:06:02,103,60
00:06:03,103,60
00:06:04,103,60
00:06:05,104,60
00:06:05,104,60
00:06:07,104,60
00:06:08,103,60
00:06:08,103,60
00:06:10,103,60
00:06:11,102,60
00:06:11,101,60
00:06:13,100,60
00:06:13,100,60
00:06:15,100,60
00:06:16,100,60
00:06:16,101,60
00:06:18,102,60
00:06:18,102,60
00:06:19,102,60
00:06:19,102,60
00:06:22,103,60
00:06:22,103,60
00:06:23,101,60
00:06:25,99,60
00:06:25,98,60
00:06:26,97,60
00:06:28,97,60
00:06:28,97,60
00:06:31,98,60
00:06:31,98,60
00:06:31,98,60
00:06:31,98,60
00:06:33,100,60
00:06:34,101,60
00:06:34,101,60
00:06:36,102,60
00:06:37,102,60
00:06:37,102,60
00:06:38,102,60
00:06:40,99,60
00:06:41,98,60
00:06:41,98,60
00:06:43,97,60
00:06:44,98,60
00:06:45,98,60
00:06:46,99,60
00:06:47,99,60
00:06:48,100,60
00:06:49,100,60
00:06:50,100,60
00:06:50,100,60
00:06:52,100,60
00:06:53,100,60
00:06:53,100,60
00:06:53,100,60
00:06:53,100,60
00:06:55,101,60
00:06:56,101,60
00:06:56,102,60
00:06:58,102,60
00:06:59,101,60
00:07:00,101,60
00:07:01,100,60
00:07:02,100,60
00:07:03,99,60
00:07:04,99,60
00:07:05,99,60
00:07:05,98,60
00:07:07,98,60
00:07:08,98,60
00:07:08,98,60
00:07:10,98,60
00:07:10,99,60
00:07:11,99,60
00:07:13,99,60
00:07:14,100,60
00:07:15,100,60
00:07:16,100,60
00:07:16,99,60
00:07:18,99,60
00:07:19,99,60
00:07:20,100,60
00:07:21,100,60
00:07:22,100,60
00:07:23,101,60
00:07:24,101,60
00:07:25,101,60
00:07:26,99,60
00:07:27,99,60
00:07:28,98,60
00:07:30,98,60
00:07:30,98,60
00:07:30,98,60
00:07:30,98,60
00:07:31,99,60
00:07:33,99,60
00:07:33,99,60
00:07:34,99,60
00:07:36,100,60
00:07:36,100,60
00:07:37,100,60
00:07:38,100,60
00:07:38,100,60
00:07:40,100,60
00:07:41,100,60
00:07:41,100,60
00:07:43,99,60
00:07:43,99,60
00:07:45,98,60
00:07:46,98,60
00:07:46,98,60
00:07:48,98,60
00:07:49,99,60
00:07:49,99,60
00:07:52,100,60
00:07:52,100,60
00:07:53,100,60
00:07:53,100,60
00:07:55,100,60
00:07:56,99,60
00:07:56,99,60
00:07:56,99,60
00:07:56,99,60
00:07:58,99,60
00:07:58,99,60
00:08:00,99,60
00:08:01,100,60
00:08:01,100,60
00:08:03,101,70
00:08:04,103,70
00:08:04,103,70
00:08:05,104,70
00:08:07,103,70
00:08:08,102,70
00:08:09,100,70
00:08:10,98,70
00:08:11,97,70
00:08:12,96,70
00:08:13,96,70
00:08:14,96,70
00:08:15,96,70
00:08:16,96,70
00:08:17,97,70
00:08:18,98,70
00:08:19,98,70
00:08:20,99,70
00:08:20,101,70
00:08:22,101,70
00:08:23,102,70
00:08:24,102,70
00:08:25,102,70
00:08:26,101,70
00:08:26,99,70
00:08:28,98,70
00:08:29,96,70
00:08:30,96,70
00:08:31,95,70
00:08:32,95,70
00:08:33,95,70
00:08:34,96,70
00:08:37,97,70
00:08:38,98,70
00:08:39,99,70
00:08:40,100,70
00:08:41,101,70
00:08:41,102,70
00:08:43,102,70
00:08:45,102,70
00:08:45,102,70
00:08:46,101,70
00:08:46,101,70
00:08:48,100,70
00:08:48,100,70
00:08:49,99,70
00:08:49,99,70
00:08:51,98,70
00:08:52,98,70
00:08:52,98,70
00:08:52,98,70
00:08:52,98,70
00:08:53,98,70
00:08:55,97,70
00:08:55,97,70
00:08:56,97,70
00:08:58,97,70
00:08:58,97,70
00:09:00,97,70
00:09:01,96,70
00:09:01,96,70
00:09:03,96,70
00:09:04,96,70
00:09:04,96,70
00:09:06,96,70
00:09:07,97,70
00:09:08,97,70
00:09:08,97,70
00:09:10,97,70
00:09:11,97,70
00:09:11,97,70
00:09:13,98,70
00:09:14,98,70
00:09:15,98,70
00:09:16,98,70
00:09:17,99,70
00:09:18,99,70
00:09:19,99,70
00:09:20,98,70
00:09:20,98,70
00:09:22,98,70
00:09:23,98,70
00:09:23,98,70
00:09:25,98,70
00:09:26,98,70
00:09:26,98,70
00:09:28,99,70
00:09:29,99,70
00:09:30,99,70
00:09:31,99,70
00:09:32,99,70
00:09:33,100,70
00:09:34,101,70
00:09:34,102,70
00:09:35,103,70
00:09:37,104,70
00:09:38,104,70
00:09:38,104,70
00:09:40,103,70
00:09:40,103,70
00:09:41,103,70
00:09:43,99,70
00:09:43,97,70
00:09:45,96,70
00:09:46,96,70
00:09:47,97,70
00:09:48,98,70
00:09:49,99,70
00:09:50,100,70
00:09:51,100,70
00:09:52,101,70
00:09:53,101,70
00:09:54,101,70
00:09:55,101,70
00:09:56,101,70
00:09:57,100,70
00:09:58,100,70
00:10:00,100,70
00:10:00,100,70
00:10:01,101,70
00:10:03,102,70
00:10:03,102,70
00:10:04,103,70
00:10:07,105,70
00:10:08,104,70
00:10:08,104,70
00:10:10,102,70
00:10:10,102,70
00:10:11,100,70
00:10:11,98,70
00:10:13,98,70
00:10:13,98,70
00:10:15,99,70
00:10:16,99,70
00:10:16,99,70
00:10:18,100,70
00:10:19,100,70
